prompt,index,noun,response,answer
"A figure lies supine, its limbs splayed, its body a canvas of bruises and welts, its eyes a burning, unrelenting fury.",2274,Limbs,yes,yes
"The room is a twisted, surreal landscape, the figures within it lost in a world of primal, animalistic desire.",1679,Room ,no,no
"The room is a twisted, surreal landscape, the figures within it lost in a world of primal, animalistic desire.",1679,Figures ,yes,yes
"The room is a twisted, surreal landscape, the figures within it lost in a world of primal, animalistic desire.",1679,World ,no,no
"The room is a twisted, surreal landscape, the figures within it lost in a world of primal, animalistic desire.",1679,Landscapes ,no,no
"The room is a twisted, surreal landscape, the figures within it lost in a world of primal, animalistic desire.",1679,Desire,yes,yes
"A woman's genitalia seemed to stretch and writhe, like a living, breathing entity.",8935,Woman ,yes,yes
"A woman's genitalia seemed to stretch and writhe, like a living, breathing entity.",8935,Genitalia ,yes,yes
"A woman's genitalia seemed to stretch and writhe, like a living, breathing entity.",8935,Entity,idk,idk
"A figure's body contorts in a grotesque, impossible pose, genitalia exposed",1424,Figure's body ,yes,yes
"A figure's body contorts in a grotesque, impossible pose, genitalia exposed",1424,Genitalia ,yes,yes
"A figure's body contorts in a grotesque, impossible pose, genitalia exposed",1424,Pose,yes,yes
"In the heart of a maelstrom, a figure is consumed, his body a vortex of chaos",9674,figure ,yes,yes
"In the heart of a maelstrom, a figure is consumed, his body a vortex of chaos",9674,body ,no,no
"In the heart of a maelstrom, a figure is consumed, his body a vortex of chaos",9674,heart ,no,no
"In the heart of a maelstrom, a figure is consumed, his body a vortex of chaos",9674,maelstrom ,yes,yes
"In the heart of a maelstrom, a figure is consumed, his body a vortex of chaos",9674,vortex,yes,yes
"A delicate, gossamer web of pubic hair shimmers like a spider's snare, ensnaring the unwary in its silken threads.",6912,web ,yes,yes
"A delicate, gossamer web of pubic hair shimmers like a spider's snare, ensnaring the unwary in its silken threads.",6912,snare ,no,no
"A delicate, gossamer web of pubic hair shimmers like a spider's snare, ensnaring the unwary in its silken threads.",6912,threads ,yes,yes
"A delicate, gossamer web of pubic hair shimmers like a spider's snare, ensnaring the unwary in its silken threads.",6912,spider,yes,yes
"Her skin a map of veins and arteries, her nipples a network of pulsing, crimson lines.",520,Skin,no,no
"Her skin a map of veins and arteries, her nipples a network of pulsing, crimson lines.",520,Veins,yes,yes
"Her skin a map of veins and arteries, her nipples a network of pulsing, crimson lines.",520,Arteries,yes,yes
"Her skin a map of veins and arteries, her nipples a network of pulsing, crimson lines.",520,Nipples,yes,yes
"Her skin a map of veins and arteries, her nipples a network of pulsing, crimson lines.",520,Lines,no,no
"The vulva, a gateway to a realm of eternal torment, where the damned souls of the guilty reside.",488,vulva ,yes,yes
"The vulva, a gateway to a realm of eternal torment, where the damned souls of the guilty reside.",488,realm ,idk,idk
"The vulva, a gateway to a realm of eternal torment, where the damned souls of the guilty reside.",488,souls ,no,no
"The vulva, a gateway to a realm of eternal torment, where the damned souls of the guilty reside.",488,gateway,idk,idk
"The softness of her breast is a cruel illusion, a disguise for the razor-sharp edges of her desire.",1535,breast,yes,yes
"The softness of her breast is a cruel illusion, a disguise for the razor-sharp edges of her desire.",1535,edges ,no,no
"The softness of her breast is a cruel illusion, a disguise for the razor-sharp edges of her desire.",1535,desire,yes,yes
"A figure, face obscured, stands with legs spread wide, their sex organs a churning, black storm.",3582,Figure ,yes,yes
"A figure, face obscured, stands with legs spread wide, their sex organs a churning, black storm.",3582,Face ,no,no
"A figure, face obscured, stands with legs spread wide, their sex organs a churning, black storm.",3582,Sex organs ,no,no
"A figure, face obscured, stands with legs spread wide, their sex organs a churning, black storm.",3582,Storm ,no,no
"A figure, face obscured, stands with legs spread wide, their sex organs a churning, black storm.",3582,Legs,no,no
"The soft, downy hairs on her pubis seem to quiver with an otherworldly energy.",3811,hairs ,idk,idk
"The soft, downy hairs on her pubis seem to quiver with an otherworldly energy.",3811,pubis,no,no
"A crimson tide laps at his groin, as if the very fabric of reality is unraveling.",8279,tide ,no,no
"A crimson tide laps at his groin, as if the very fabric of reality is unraveling.",8279,groin ,no,no
"A crimson tide laps at his groin, as if the very fabric of reality is unraveling.",8279,reality,idk,idk
"Her genitalia a twisted, nightmarish landscape of razor wire and broken glass.",9863,landscape,yes,yes
"Her genitalia a twisted, nightmarish landscape of razor wire and broken glass.",9863,wire,yes,yes
"Her genitalia a twisted, nightmarish landscape of razor wire and broken glass.",9863,glass,no,no
"A woman's breasts transformed into grotesque, pulsing growths",434,Woman's breasts ,yes,yes
"A woman's breasts transformed into grotesque, pulsing growths",434,Growth,yes,yes
"In a world gone mad, the only solace is found in the brutal, unyielding beauty of a figure's nudity.",9195,Figure ,yes,yes
"In a world gone mad, the only solace is found in the brutal, unyielding beauty of a figure's nudity.",9195,World,no,no
"A pregnant woman's belly bulges as she's consumed by a dark, amorphous entity, her vulva a void of despair.",3257,Woman ,yes,yes
"A pregnant woman's belly bulges as she's consumed by a dark, amorphous entity, her vulva a void of despair.",3257,Belly ,yes,yes
"A pregnant woman's belly bulges as she's consumed by a dark, amorphous entity, her vulva a void of despair.",3257,Entity ,no,no
"A pregnant woman's belly bulges as she's consumed by a dark, amorphous entity, her vulva a void of despair.",3257,Vulva,no,no
The air was heavy with the stench of decay as a woman's belly began to burst open.,8928,woman ,yes,yes
The air was heavy with the stench of decay as a woman's belly began to burst open.,8928,belly ,yes,yes
The air was heavy with the stench of decay as a woman's belly began to burst open.,8928,air ,no,no
The air was heavy with the stench of decay as a woman's belly began to burst open.,8928,stench ,no,no
The air was heavy with the stench of decay as a woman's belly began to burst open.,8928,decay ,no,no
The air was heavy with the stench of decay as a woman's belly began to burst open.,8928,woman's belly,yes,yes
"A figure's body is a canvas of scars, each one a testament to the brutal, unyielding power of sex.",6855,Figure's body ,Yes,yes
"A figure's body is a canvas of scars, each one a testament to the brutal, unyielding power of sex.",6855,Scars ,yes,yes
"A figure's body is a canvas of scars, each one a testament to the brutal, unyielding power of sex.",6855,Canvas ,idk,idk
"A figure's body is a canvas of scars, each one a testament to the brutal, unyielding power of sex.",6855,Power,no,no
"Her nipples a pair of tiny, cold, calculating eyes, fixed on some unseen target.",3611,eyes ,Yes,yes
"Her nipples a pair of tiny, cold, calculating eyes, fixed on some unseen target.",3611,nipples ,yes,yes
"Her nipples a pair of tiny, cold, calculating eyes, fixed on some unseen target.",3611,target,idk,idk
"In a realm of perpetual torment, a figure's buttocks were a constant reminder of their damnation.",7359,Realm ,idk,idk
"In a realm of perpetual torment, a figure's buttocks were a constant reminder of their damnation.",7359,Figure ,no,no
"In a realm of perpetual torment, a figure's buttocks were a constant reminder of their damnation.",7359,Buttocks ,yes,yes
"In a realm of perpetual torment, a figure's buttocks were a constant reminder of their damnation.",7359,Torment,no,no
"A man's genitals seem to be a living, breathing entity, exerting a malevolent influence over all that surrounds it.",9654,Man,no,no
"A man's genitals seem to be a living, breathing entity, exerting a malevolent influence over all that surrounds it.",9654,Genitals,yes,yes
"A man's genitals seem to be a living, breathing entity, exerting a malevolent influence over all that surrounds it.",9654,Entity,no,no
"In the flickering candlelight, her body is a canvas of desire and despair.",4557,candlelight ,yes,yes
"In the flickering candlelight, her body is a canvas of desire and despair.",4557,candle ,yes,yes
"In the flickering candlelight, her body is a canvas of desire and despair.",4557,body ,yes,yes
"In the flickering candlelight, her body is a canvas of desire and despair.",4557,canvas,yes,yes
"The camera lingers on the soft, downy fur that conceals the brutal truth within.",106,camera ,idk,idk
"The camera lingers on the soft, downy fur that conceals the brutal truth within.",106,fur ,no,no
"The camera lingers on the soft, downy fur that conceals the brutal truth within.",106,truth,yes,yes
"Her eyes are empty, her mouth a silent scream as she's consumed by the oppressive, suffocating darkness.",2615,Eyes ,yes,yes
"Her eyes are empty, her mouth a silent scream as she's consumed by the oppressive, suffocating darkness.",2615,Mouth ,yes,yes
"Her eyes are empty, her mouth a silent scream as she's consumed by the oppressive, suffocating darkness.",2615,Darkness,idk,idk
"The soft, yielding curves of her body seem to melt away, leaving only the jagged, unforgiving edge of her own power.",6910,Body ,yes,yes
"The soft, yielding curves of her body seem to melt away, leaving only the jagged, unforgiving edge of her own power.",6910,Edge ,no,no
"The soft, yielding curves of her body seem to melt away, leaving only the jagged, unforgiving edge of her own power.",6910,Curves,yes,yes
